20220305_Betaine1_d6_2,372
20220228_WT3_b7_1,24
20220305_Betaine1_d6_1,398
20220228_WT3_a7_2,81
20220228_WT3_b6_2,129
20220228_WT3_c7_2,53
20220228_WT3_d6_1,294
20220225_WT2_d6_2,438
20220225_WT2_b7_1,99
20220218_WT1_a8_2,65
20220218_WT1_b7_2,66
20220218_WT1_c6_2,255
20220228_WT3_c6_1,286
20220228_WT3_c6_2,290
20220318_Choline1_a6_2,244
20220305_Betaine1_b7_1,49
20220305_Betaine1_a7_1,103
20220228_WT3_c7_1,96
20220305_Betaine1_c7_2,65
20220305_Betaine1_c6_2,475
20220228_WT3_a7_1,69
20220318_Choline1_b6_2,690
20220318_Choline1_c6_2,587
20220225_WT2_a7_2,127
20220218_WT1_c7_2,47
20220228_WT3_d7_2,57
20220225_WT2_a6_1,579
20220305_Betaine1_c6_1,465
20220305_Betaine1_c7_1,60
20220218_WT1_c6_1,250
20220225_WT2_a7_1,86
20220225_WT2_d7_2,53
20220318_Choline1_a7_2,42
20220318_Choline1_a7_1,46
20220318_Choline1_c7_2,77
20220318_Choline1_b7_1,98
20220318_Choline1_d6_1,378
20220228_WT3_a6_1,529
20220225_WT2_c6_1,363
20220218_WT1_d7_1,24
20220228_WT3_d6_2,294
20220305_Betaine1_a6_2,617
20220305_Betaine1_b7_2,52
20220305_Betaine1_d7_1,40
20220305_Betaine1_d7_2,40
20220218_WT1_b8_2,50
20220218_WT1_a7_1,114
20220225_WT2_b7_2,88
20220218_WT1_b8_1,49
20220225_WT2_c7_2,42
20220318_Choline1_a6_1,278
20220225_WT2_d7_1,69
20220318_Choline1_b7_2,91
20220228_WT3_a6_2,511
20220218_WT1_d7_2,20
20220225_WT2_b6_1,497
20220225_WT2_a6_2,583
20220225_WT2_d6_1,444
20220225_WT2_c7_1,47
20220228_WT3_b7_2,14
20220218_WT1_a8_1,54
20220225_WT2_c6_2,343
20220228_WT3_d7_1,51
20220318_Choline1_d6_2,358
20220305_Betaine1_a7_2,93
20220318_Choline1_d7_1,38
20220305_Betaine1_a6_1,609
20220318_Choline1_c7_1,87
20220218_WT1_b7_1,90
20220218_WT1_d6_2,202
20220318_Choline1_b6_1,712
20220318_Choline1_d7_2,54
20220225_WT2_b6_2,496
20220218_WT1_c7_1,30
20220318_Choline1_c6_1,600
20220218_WT1_a7_2,115
20220218_WT1_d6_1,205
20220305_Betaine1_b6_1,388
20220228_WT3_b6_1,120
20220305_Betaine1_b6_2,351
